	CodigoMatricula	NroCuota	FechaCompromiso	MonedaCuota
0	10088795A26989	2	2025-01-08 00:00:00,000	soles
1	10638488A25848	7	2024-12-20 00:00:00,000	soles
2	10220566A263101	3	2024-09-06 00:00:00,000	soles
3	9592354A25982	3	2024-11-26 00:00:00,000	soles
4	9592354A25982	4	2024-11-22 00:00:00,000	soles
5	10631152A25848	8	2025-03-07 00:00:00,000	soles
6	10658475A26074	3	2024-09-20 00:00:00,000	soles
7	10138473A25848	6	2024-11-02 00:00:00,000	soles
8	9646902A25901	8	2024-12-13 00:00:00,000	soles
9	10547866A24779	12	2024-12-28 00:00:00,000	soles
10	10549318A24278	8	2025-02-22 00:00:00,000	soles
11	10193175A25901	2	2024-07-30 00:00:00,000	soles
12	107317A25362	3	2024-10-02 00:00:00,000	soles
13	10601115A25381	10	2025-03-21 00:00:00,000	soles
14	9592354A24974	3	2025-01-23 00:00:00,000	soles
15	9592354A24974	4	2025-01-23 00:00:00,000	soles
16	10218698A21294	4	2024-01-30 00:00:00,000	soles
17	9445112A26034	7	2025-04-03 00:00:00,000	soles
18	9434276A26034	4	2024-10-21 00:00:00,000	soles
19	10634713A24719	3	2024-08-10 00:00:00,000	soles
20	9914551A24719	6	2024-12-07 00:00:00,000	soles
21	9914551A24719	7	2025-01-08 00:00:00,000	soles
22	10246272A24499	5	2025-01-25 00:00:00,000	soles
23	199919A24499	2	2024-08-19 00:00:00,000	soles
24	199919A24499	3	2024-10-14 00:00:00,000	soles
25	10341074A24719	2	2024-12-13 00:00:00,000	soles
26	10227586A24719	4	2024-08-31 00:00:00,000	soles
27	10608609A24779	5	2024-09-09 00:00:00,000	soles
28	10206840A23840	8	2024-04-22 00:00:00,000	soles
29	10520713A24097	4	2024-02-17 00:00:00,000	soles
30	9487809A25362	7	2024-09-16 00:00:00,000	soles
31	9967119A25726	8	2024-10-30 00:00:00,000	soles
32	10198503A23493	14	2024-09-13 00:00:00,000	soles
33	10198503A23493	13	2024-09-13 00:00:00,000	soles
34	10364134A26780	2	2025-03-18 00:00:00,000	soles
35	10685292A25752	4	2025-01-07 00:00:00,000	soles
36	10685292A25752	5	2025-01-07 00:00:00,000	soles
37	10685292A25752	6	2025-01-07 00:00:00,000	soles
38	9505986A21502	13	2024-10-31 00:00:00,000	soles
39	9505986A21502	14	2024-12-13 00:00:00,000	soles
40	9505986A21502	15	2024-12-13 00:00:00,000	soles
41	10492115A21994	7	2024-11-16 00:00:00,000	soles
42	10443142A24187	11	2024-12-11 00:00:00,000	soles
43	10443142A24187	12	2024-12-11 00:00:00,000	soles
44	10443142A24187	13	2024-12-11 00:00:00,000	soles
45	7521A25176	4	2024-10-31 00:00:00,000	soles
46	7521A25176	5	2024-10-31 00:00:00,000	soles
47	9978319A25050	3	2024-04-06 00:00:00,000	soles
48	9464585A24726	2	2024-05-09 00:00:00,000	soles
49	9910964A21838	3	2024-02-11 00:00:00,000	soles
50	9910964A21838	4	2024-03-15 00:00:00,000	soles
51	257438A24779	4	2024-07-05 00:00:00,000	soles
52	10593943A25522	3	2024-04-22 00:00:00,000	soles
53	10591789A24499	3	2024-05-22 00:00:00,000	soles
54	10591789A24499	4	2024-09-24 00:00:00,000	soles
55	9993711A25435	3	2024-10-13 00:00:00,000	soles
56	10206840A23840	7	2024-03-01 00:00:00,000	soles
57	10599266A25425	2	2024-05-02 00:00:00,000	soles
58	10599266A25425	3	2024-05-31 00:00:00,000	soles
59	9564941A25741	3	2024-08-02 00:00:00,000	soles
60	10485210A23714	9	2024-05-08 00:00:00,000	soles
61	10082589A22826	4	2024-03-30 00:00:00,000	soles
62	10220566A263101	2	2024-08-09 00:00:00,000	soles
63	9568157A25848	2	2024-07-25 00:00:00,000	soles
64	10658475A26074	2	2024-08-09 00:00:00,000	soles
65	10590880A26479	3	2024-11-04 00:00:00,000	soles
66	10590880A26479	4	2025-03-15 00:00:00,000	soles
67	10664337A263101	3	2024-10-14 00:00:00,000	soles
68	118163A26065	6	2024-12-15 00:00:00,000	soles
69	10667953A263101	4	2024-10-17 00:00:00,000	soles
70	10667953A263101	5	2024-12-17 00:00:00,000	soles
71	40584A263101	2	2024-09-30 00:00:00,000	soles
72	40584A263101	3	2024-10-08 00:00:00,000	soles
73	10587066A24440	9	2024-12-16 00:00:00,000	soles
74	10180950A24719	2	2024-12-03 00:00:00,000	soles
75	9832432A24278	8	2024-12-27 00:00:00,000	soles
76	9994195A25362	10	2025-01-04 00:00:00,000	soles
77	10724042A26934	2	2025-01-07 00:00:00,000	soles
78	10257296A26479	5	2025-03-12 00:00:00,000	soles
79	9993711A25435	4	2025-03-15 00:00:00,000	soles
80	9993711A25435	5	2025-03-15 00:00:00,000	soles
81	10316805A27019	2	2025-03-13 00:00:00,000	dolares
82	10576575A262771	4	2024-12-31 00:00:00,000	dolares
83	10576575A262771	5	2024-12-31 00:00:00,000	dolares
84	10672221A26261	3	2024-09-28 00:00:00,000	dolares
85	10672221A26261	4	2025-01-14 00:00:00,000	dolares
86	10672221A26261	5	2025-01-14 00:00:00,000	dolares
87	10672221A26261	6	2025-01-14 00:00:00,000	dolares
88	10263387A24425	3	2024-12-13 00:00:00,000	dolares
89	160817A24971	3	2024-09-05 00:00:00,000	dolares
90	274224A24550	2	2024-06-05 00:00:00,000	dolares
91	274224A24550	3	2024-09-21 00:00:00,000	dolares
92	10704733A26748	3	2024-12-16 00:00:00,000	dolares
93	145110A26748	2	2024-12-20 00:00:00,000	dolares
94	10643724A24971	3	2024-12-10 00:00:00,000	dolares
95	10643724A24971	4	2024-12-31 00:00:00,000	dolares
96	9615048A23958	3	2025-02-19 00:00:00,000	pesos mexicanos
97	10453370A262001	3	2024-10-04 00:00:00,000	pesos mexicanos
98	10693063A26641	3	2024-11-19 00:00:00,000	pesos mexicanos
99	10354296A23790	4	2024-09-03 00:00:00,000	pesos mexicanos
100	10085293A25343	2	2024-04-30 00:00:00,000	pesos mexicanos
101	10515147A23856	6	2024-06-15 00:00:00,000	pesos mexicanos
102	10505886A23931	6	2024-04-03 00:00:00,000	pesos mexicanos
103	10556434A21880	6	2024-06-03 00:00:00,000	pesos mexicanos
104	10516168A21594	3	2024-02-21 00:00:00,000	pesos mexicanos
105	10727091A24527	3	2025-01-07 00:00:00,000	pesos mexicanos
106	10151966A23769	7	2024-04-30 00:00:00,000	pesos mexicanos
107	10576319A25379	2	2024-04-17 00:00:00,000	pesos mexicanos
108	10556422A24299	2	2024-01-29 00:00:00,000	pesos mexicanos
109	10515147A23856	5	2024-02-26 00:00:00,000	pesos mexicanos
110	10574597A25425	3	2024-04-13 00:00:00,000	pesos mexicanos
111	10509096A23856	7	2024-04-13 00:00:00,000	pesos mexicanos
112	10578817A24278	2	2024-03-16 00:00:00,000	pesos mexicanos
113	10203262A23961	3	2024-02-29 00:00:00,000	pesos mexicanos
114	10153442A24266	2	2024-03-13 00:00:00,000	pesos mexicanos
115	10234230A23713	7	2024-01-13 00:00:00,000	pesos mexicanos
116	10574597A25425	2	2024-02-29 00:00:00,000	pesos mexicanos
117	10515729A23816	10	2024-08-20 00:00:00,000	pesos mexicanos
118	10515729A23816	11	2024-10-02 00:00:00,000	pesos mexicanos
119	10515729A23816	12	2024-10-09 00:00:00,000	pesos mexicanos
120	10615646A25373	2	2024-06-06 00:00:00,000	pesos mexicanos
121	10203262A23961	4	2024-12-03 00:00:00,000	pesos mexicanos
122	10203262A23961	5	2024-12-03 00:00:00,000	pesos mexicanos
123	10675786A26405	4	2024-11-22 00:00:00,000	pesos mexicanos
124	10478413A23713	5	2024-02-23 00:00:00,000	pesos mexicanos
125	10478413A23713	6	2024-10-25 00:00:00,000	pesos mexicanos
126	10594265A25425	6	2024-08-29 00:00:00,000	pesos mexicanos
127	10464822A20843	6	2024-04-15 00:00:00,000	pesos mexicanos
128	10597378A25499	6	2024-11-07 00:00:00,000	pesos mexicanos
129	10597378A25499	7	2024-11-07 00:00:00,000	pesos mexicanos
130	10597378A25499	8	2024-11-07 00:00:00,000	pesos mexicanos
131	10234028A25709	2	2024-10-30 00:00:00,000	pesos mexicanos
132	10635585A25709	6	2024-10-30 00:00:00,000	pesos mexicanos
133	226663A23856	4	2024-03-27 00:00:00,000	pesos mexicanos
134	226663A23856	5	2024-03-27 00:00:00,000	pesos mexicanos
135	226663A23856	6	2024-03-27 00:00:00,000	pesos mexicanos
136	10561075A23776	7	2024-08-15 00:00:00,000	pesos mexicanos
137	10553099A24299	6	2024-06-10 00:00:00,000	pesos mexicanos
138	10419487A25394	6	2024-08-28 00:00:00,000	pesos mexicanos
139	10124965A24267	4	2024-03-22 00:00:00,000	pesos mexicanos
140	10588264A24527	4	2024-07-03 00:00:00,000	pesos mexicanos
141	10464822A20843	7	2025-03-31 00:00:00,000	pesos mexicanos
142	10571664A24797	11	2025-02-02 00:00:00,000	pesos mexicanos
143	10565799A24527	8	2024-09-01 00:00:00,000	pesos mexicanos
144	10522688A23741	7	2024-09-05 00:00:00,000	pesos mexicanos
145	10475988A24326	2	2024-03-30 00:00:00,000	pesos mexicanos
146	10475988A24326	3	2024-03-30 00:00:00,000	pesos mexicanos
147	10543380A21462	7	2024-06-03 00:00:00,000	pesos mexicanos
148	10516168A21594	4	2024-08-29 00:00:00,000	pesos mexicanos
149	10516168A21594	5	2024-08-29 00:00:00,000	pesos mexicanos
150	10329734A24797	3	2024-04-02 00:00:00,000	pesos mexicanos
151	10494970A24527	2	2024-03-24 00:00:00,000	pesos mexicanos
152	10581820A24376	4	2024-06-14 00:00:00,000	pesos mexicanos
153	10581820A24376	5	2024-09-01 00:00:00,000	pesos mexicanos
