	CodigoMatricula	AreaPrograma	Cargo	NombrePais	VersionPrograma	Modalidad
0	9958111A22628	Seguridad Alimentaria	Gerente General/ Apoderado	Perú	Sin Version	Online Asincronica
1	10331026A22124	Transformación Digital	Analista	Perú	Sin Version	Online Asincronica
2	9986045A19794	Seguridad y Salud en el Trabajo	Gerente General/ Apoderado	Perú	Sin Version	Online Asincronica
3	9505135A22124	Transformación Digital	Jefe	Perú	Sin Version	Online Asincronica
4	9902395A22124	Transformación Digital	Otros	Perú	Sin Version	Online Asincronica
5	9459388A21895	Proyectos	Coordinador	Perú	Sin Version	Online Asincronica
6	10453782A22124	Transformación Digital	Encargado	Perú	Sin Version	Online Asincronica
7	9524725A21895	Proyectos	Asistente	Perú	Sin Version	Online Asincronica
8	10399850A22124	Transformación Digital	Supervisor	Perú	Sin Version	Online Asincronica
9	10271800A22087	Transformación Digital	Jefe	Perú	Sin Version	Online Asincronica
10	10510789A25201	Seguridad y Salud en el Trabajo	Supervisor	Perú	Sin Version	Online Asincronica
11	10575776A24362	Mantenimiento	Supervisor	Perú	Sin Version	Online Asincronica
12	10459196A25209	Seguridad y Salud en el Trabajo	Supervisor	Perú	Sin Version	Online Asincronica
13	10217020A24542	Proyectos	Jefe	Perú	Sin Version	Online Asincronica
14	10555535A25106	Transformación Digital	Gerente de Área/Unidad	Perú	Sin Version	Online Asincronica
15	10269430A20297	Transformación Digital		Perú	Sin Version	Online Asincronica
16	71240A21299	Gestión Ambiental	Supervisor	Perú	Sin Version	Online Asincronica
17	289462A23002	Seguridad Alimentaria	Supervisor	Perú	Sin Version	Online Asincronica
18	10244919A22621	Seguridad Alimentaria	Gerente General/ Apoderado	Perú	Sin Version	Online Asincronica
19	9741557A22120	Transformación Digital	Director/Presidente/CEO	Perú	Sin Version	Online Asincronica
20	9670972A22621	Seguridad Alimentaria	Gerente General/ Apoderado	Perú	Sin Version	Online Asincronica
21	9544348A22120	Transformación Digital	Asistente	Perú	Sin Version	Online Asincronica
22	18936A22120	Transformación Digital		Perú	Sin Version	Online Asincronica
23	10330655A22120	Transformación Digital	Asistente	Perú	Sin Version	Online Asincronica
24	9641514A22120	Transformación Digital	Ejecutivo	Perú	Sin Version	Online Asincronica
25	9902910A21642	Mantenimiento	Prevencionista	Perú	Sin Version	Online Asincronica
26	10527242A24725	Seguridad y Salud en el Trabajo	Supervisor	Perú	Sin Version	Online Asincronica
27	10451219A24725	Seguridad y Salud en el Trabajo	Coordinador	Perú	Sin Version	Online Asincronica
28	9942700A24725	Seguridad y Salud en el Trabajo	Asistente	Perú	Sin Version	Online Asincronica
29	9742031A24725	Seguridad y Salud en el Trabajo	Jefe	Perú	Sin Version	Online Asincronica
30	10096467A21261	Calidad	Supervisor	Perú	Sin Version	Online Asincronica
31	10081099A21261	Calidad	Analista	Perú	Sin Version	Online Asincronica
32	10164707A19741	Seguridad Alimentaria	Analista	Perú	Sin Version	Online Asincronica
33	10261411A21261	Calidad	Asistente	Perú	Sin Version	Online Asincronica
34	10268929A21261	Calidad	Supervisor	Perú	Sin Version	Online Asincronica
35	10231847A21261	Calidad	Jefe	Perú	Sin Version	Online Asincronica
36	10265472A21261	Calidad	Jefe	Perú	Sin Version	Online Asincronica
37	191401A21261	Calidad	Coordinador	Perú	Sin Version	Online Asincronica
38	22247A21261	Calidad	Supervisor	Perú	Sin Version	Online Asincronica
39	9680596A21264	Calidad	Asistente	Perú	Sin Version	Online Asincronica
40	10555651A25217	Seguridad Alimentaria	Consultor	Perú	Sin Version	Online Asincronica
41	120304A22002	Seguridad y Salud en el Trabajo	Analista	Perú	Sin Version	Online Asincronica
42	9829282A21278	Calidad	Supervisor	Perú	Sin Version	Online Asincronica
43	10217891A21260	Seguridad de la Información	Coordinador	Perú	Sin Version	Online Asincronica
44	9957760A21939	Seguridad de la Información	Coordinador	Perú	Sin Version	Online Asincronica
45	9574103A22002	Seguridad y Salud en el Trabajo	Jefe	Perú	Sin Version	Online Asincronica
46	10130069A21995	Calidad	Supervisor	Perú	Sin Version	Online Asincronica
47	10356776A21264	Calidad	Jefe	Perú	Sin Version	Online Asincronica
48	10225524A21576	Mantenimiento	Supervisor	Perú	Sin Version	Online Asincronica
49	10268483A22002	Seguridad y Salud en el Trabajo	Supervisor	Perú	Sin Version	Online Asincronica
50	10017301A22002	Seguridad y Salud en el Trabajo	Coordinador	Perú	Sin Version	Online Asincronica
51	10317378A22002	Seguridad y Salud en el Trabajo	Supervisor	Perú	Sin Version	Online Asincronica
