iter	F1	Logloss
0	0.6500231506	0.6924392964
1	0.6521371894	0.6912803388
2	0.617298589	0.6902531427
3	0.6182319994	0.6892919541
4	0.6335100475	0.6880365666
5	0.640131015	0.6866430894
6	0.6381596684	0.6859011429
7	0.6374519519	0.685123755
8	0.6278478455	0.6841831886
9	0.6171094163	0.6836557247
10	0.6240099644	0.6828526807
11	0.6163390978	0.6822624236
12	0.621426015	0.6815904477
13	0.6216897682	0.6805069444
14	0.6250073659	0.6798173895
15	0.6163084569	0.6796396664
16	0.6130170159	0.6793184807
17	0.613191776	0.6787261558
18	0.6149086046	0.678273195
19	0.6215133695	0.6779005737
20	0.616869646	0.6777011473
21	0.622142249	0.6773078267
22	0.6242914232	0.6769904485
23	0.6226042367	0.6764255669
24	0.6259747503	0.6763985921
25	0.625887405	0.6755285972
26	0.6272203549	0.675094826
27	0.6259714055	0.6748148216
28	0.6240808054	0.6744510755
29	0.6243322524	0.6740845826
30	0.6248824203	0.6735971082
31	0.6179655806	0.6730967775
32	0.6177326878	0.6728042788
33	0.6206239427	0.6722457611
34	0.6182442129	0.671898857
35	0.6211372475	0.6713318546
36	0.6221816148	0.6709148505
37	0.6256953735	0.6707000934
38	0.6247548496	0.6703729411
39	0.6287159792	0.6702073666
40	0.6288757215	0.6701630345
41	0.6288757215	0.6701630291
42	0.6288757215	0.6701630226
43	0.6310209597	0.6697302883
44	0.6270684744	0.6692585317
45	0.6280159824	0.6687784559
46	0.628059119	0.6685723218
47	0.625869791	0.6683523846
48	0.6292004669	0.6682538645
49	0.6283939874	0.6678810708
50	0.6328343029	0.6676926219
51	0.6311003143	0.6676392622
52	0.6286749107	0.6674179358
53	0.6286749107	0.6671150045
54	0.6278179075	0.666914456
55	0.6297750236	0.666611692
56	0.6283489808	0.6663043304
57	0.627225663	0.6660141718
58	0.6312489565	0.6656159614
59	0.6307017038	0.6654738995
60	0.6347304109	0.6649709313
61	0.635617621	0.664776535
62	0.6342938792	0.6647282775
63	0.6348033631	0.6646263148
64	0.6338317475	0.6644331497
65	0.6303377474	0.6640128763
66	0.6377837969	0.6636115925
67	0.636956355	0.6630671362
68	0.6369128649	0.662848872
69	0.6393592065	0.662637
70	0.6418875202	0.6625967146
71	0.6410181368	0.6622656163
72	0.6405380235	0.662113435
73	0.6428498239	0.6616243104
74	0.6431914155	0.6610149209
75	0.6431914155	0.6608551427
76	0.6438809049	0.6604270196
77	0.6418001809	0.660101382
78	0.6434976787	0.6600471158
79	0.6410618192	0.6596939485
80	0.64093079	0.6595815213
81	0.64093079	0.6595815163
82	0.6421933951	0.6592757199
83	0.6424120557	0.6591244397
84	0.6425433235	0.6589440011
85	0.6422808415	0.6587734211
86	0.6423683117	0.6587060601
87	0.6400588869	0.6584087885
88	0.6389661626	0.6583436744
89	0.6411087118	0.6580976718
90	0.6426458945	0.6579015189
91	0.6429982861	0.6576143876
92	0.6417716872	0.6572159378
93	0.6417276614	0.6572159274
94	0.6417276614	0.657215927
95	0.6386534115	0.6571356269
96	0.636142221	0.6569436306
97	0.6363172801	0.6569065837
98	0.6385657255	0.6565712744
99	0.6402790719	0.6561453311
100	0.638916614	0.6556546051
101	0.6398398931	0.6555902249
102	0.6404988875	0.6553894423
103	0.6404988875	0.655275399
104	0.6406308493	0.6551980508
