iter	Passed	Remaining
0	17	3443
1	34	3417
2	54	3557
3	73	3608
4	93	3630
5	111	3615
6	133	3673
7	154	3713
8	173	3685
9	192	3662
10	212	3644
11	232	3635
12	252	3636
13	272	3619
14	291	3590
15	302	3478
16	321	3465
17	340	3447
18	360	3431
19	380	3420
20	391	3333
21	409	3310
22	429	3307
23	447	3284
24	469	3285
25	492	3296
26	526	3372
27	547	3360
28	566	3339
29	585	3316
30	605	3299
31	625	3285
32	644	3262
33	663	3238
34	682	3217
35	701	3196
36	721	3177
37	740	3158
38	759	3137
39	779	3117
40	790	3065
41	798	3002
42	805	2940
43	824	2923
44	843	2904
45	861	2883
46	881	2869
47	902	2857
48	921	2838
49	940	2820
50	958	2801
51	975	2777
52	994	2759
53	1013	2741
54	1033	2724
55	1052	2705
56	1070	2685
57	1091	2671
58	1109	2651
59	1128	2633
60	1148	2617
61	1167	2598
62	1186	2579
63	1205	2561
64	1224	2543
65	1244	2526
66	1263	2508
67	1282	2489
68	1300	2469
69	1319	2451
70	1331	2418
71	1346	2394
72	1365	2375
73	1385	2358
74	1404	2341
75	1424	2323
76	1443	2305
77	1462	2287
78	1481	2268
79	1500	2251
80	1520	2233
81	1527	2198
82	1546	2180
83	1567	2164
84	1586	2146
85	1605	2128
86	1621	2106
87	1640	2087
88	1658	2069
89	1678	2051
90	1698	2034
91	1717	2016
92	1736	1998
93	1744	1966
94	1752	1936
95	1772	1920
96	1791	1902
97	1810	1884
98	1830	1867
99	1849	1849
100	1868	1831
101	1888	1814
102	1907	1796
103	1927	1779
104	1947	1761
105	1966	1744
106	1974	1715
107	1992	1697
108	2008	1676
109	2026	1658
110	2038	1634
111	2057	1616
112	2077	1599
113	2095	1581
114	2115	1563
115	2134	1545
116	2154	1528
117	2173	1510
118	2180	1484
119	2188	1458
120	2195	1433
121	2213	1415
122	2232	1397
123	2251	1379
124	2270	1362
125	2288	1344
126	2308	1326
127	2325	1308
128	2344	1290
129	2352	1266
130	2367	1247
131	2387	1229
132	2394	1206
133	2413	1188
134	2433	1171
135	2452	1154
136	2472	1136
137	2491	1119
138	2499	1096
139	2512	1076
140	2530	1058
141	2550	1041
142	2570	1024
143	2589	1006
144	2608	989
145	2629	972
146	2651	956
147	2676	940
148	2683	918
149	2691	897
150	2710	879
151	2722	859
152	2742	842
153	2757	823
154	2775	805
155	2796	788
156	2815	770
157	2833	753
158	2851	735
159	2871	717
160	2890	700
161	2909	682
162	2928	664
163	2943	646
164	2962	628
165	2981	610
166	3001	593
167	3019	575
168	3035	556
169	3054	539
170	3072	521
171	3091	503
172	3109	485
173	3128	467
174	3147	449
175	3166	431
176	3185	413
177	3204	396
178	3219	377
179	3237	359
180	3256	341
181	3275	323
182	3294	306
183	3313	288
184	3332	270
185	3351	252
186	3369	234
187	3390	216
188	3410	198
189	3429	180
190	3449	162
191	3467	144
192	3486	126
193	3506	108
194	3526	90
195	3545	72
196	3564	54
197	3572	36
198	3592	18
199	3612	0
